words,links,capital_words,spam_word_count,is_spam
93,9,22,1,1
26,1,2,3,0
68,1,1,1,0
405,1,1,2,0
195,2,3,0,0
167,0,9,1,0
136,1,3,5,0
108,10,24,10,1
940,2,9,2,1
153,4,1,1,0
121,6,20,9,1
402,1,1,1,0
118,2,1,0,0
224,1,0,2,0
294,0,1,2,0
102,4,27,10,1
392,0,19,1,1
359,9,2,6,1
96,2,0,1,0
29,4,3,5,0
231,1,3,4,0
649,6,2,0,1
176,1,1,2,0
33,1,3,1,0
869,3,26,6,1
430,8,16,3,1
282,4,26,6,1
29,1,3,2,0
247,2,0,1,0
211,0,18,0,1
290,0,3,6,0
960,9,19,8,1
217,2,1,2,0
171,1,0,1,0
272,0,3,0,0
202,0,2,0,0
319,1,3,2,0
841,9,1,1,1
156,3,11,6,1
130,2,0,2,0
283,3,3,0,0
180,8,30,9,1
75,3,7,6,1
129,1,3,4,0
218,1,3,3,0
396,8,24,2,1
122,5,3,3,1
170,5,21,6,1
30,5,3,1,0
241,2,0,2,0
205,1,2,0,0
759,8,11,8,1
131,5,10,2,1
162,4,1,4,0
324,1,10,3,1
188,2,2,1,0
436,10,10,1,1
748,3,22,3,1
159,3,0,2,0
118,9,10,5,1
769,3,2,6,1
737,2,22,1,1
252,2,26,6,1
281,1,2,1,0
289,0,2,3,0
205,2,1,2,0
153,0,3,2,0
81,10,0,8,1
99,2,16,9,1
909,1,2,3,1
71,5,2,1,0
699,2,24,5,1
351,10,7,4,1
789,10,8,9,1
186,1,4,2,0
290,8,6,7,1
390,6,23,3,1
431,1,1,2,0
276,8,14,6,1
280,1,0,1,0
661,7,14,7,1
129,3,14,3,1
91,3,0,5,0
325,1,0,2,0
82,2,0,1,0
59,2,13,9,1
175,1,13,6,1
164,10,12,9,1
295,3,1,2,0
740,8,14,6,1
935,4,10,8,1
33,0,1,1,0
110,9,12,0,1
160,1,3,0,0
369,6,9,8,1
251,3,4,2,0
182,1,0,0,0
122,1,1,1,0
751,5,17,8,1
59,1,3,2,0
511,3,15,10,1
269,0,7,0,0
220,5,3,1,0
251,1,0,0,0
369,2,4,6,0
243,1,5,2,0
71,2,2,1,0
300,0,1,1,0
102,1,1,1,0
56,0,3,2,0
88,4,0,1,0
259,1,0,0,0
589,3,24,5,1
156,1,1,1,0
281,2,4,6,1
955,8,16,10,1
928,9,5,4,1
170,2,2,2,0
328,10,30,10,1
289,0,0,0,0
30,0,1,1,0
161,0,2,0,0
